No,Fecha ,Lugar de partida
1,05  oct. 2024,"Huehuetán, Chiapas"
2,13 oct. 2024,"Tapachula, Chiapas"
3,20 oct. 2024,"Tapachula, Chiapas"
4,05 nov. 2024,"Tapachula, Chiapas"
5,06 nov. 2024,"Tuxtla Gutiérrez, Chiapas"
6,20 nov. 2024,"Tapachula, Chiapas"
7,01 dic. 2024,"Tapachula, Chiapas"
8,12 dic. 2024,"Tapachula, Chiapas"
9,18 dic. 2024,"Tapachula, Chiapas"
10,02 ene. 2025,"Tapachula, Chiapas"
11,10 ene. 2025,"Tapachula, Chiapas"
12,12 ene. 2025,"Tapachula, Chiapas"
13,20 ene. 2025,"Tapachula, Chiapas"
14,26 ene. 2025,"Tapachula, Chiapas"
15,06 ago. 2025,"Tapachula, Chiapas"
16,01 oct. 2025,"Tapachula, Chiapas"
17,24 mar. 2026,"Tapachula, Chiapas"
